Madrid,"40.4168, -3.7038"
Barcelona,"41.3851, 2.1734"
Valencia,"39.4699, -0.3763"
Zaragoza,"41.6488, -0.8891"
Sevilla,"37.3891, -5.9845"
Málaga,"36.7213, -4.4214"
Murcia,"37.9922, -1.1307"
Palma de Mallorca,"39.5696, 2.6502"
Las Palmas de Gran Canaria,"28.1235, -15.4363"
Alicante,"38.3452, -0.4810"
Bilbao,"43.2630, -2.9350"
Córdoba,"37.8882, -4.7794"
Valladolid,"41.6523, -4.7245"
Vitoria,"42.8467, -2.6716"
La Coruña,"43.3623, -8.4115"
Granada,"37.1773, -3.5986"
Oviedo,"43.3619, -5.8494"
Santa Cruz de Tenerife,"28.4636, -16.2518"
Pamplona,"42.8125, -1.6458"
Almería,"36.8340, -2.4637"
San Sebastián,"43.3183, -1.9812"
Burgos,"42.3439, -3.6969"
Albacete,"38.9943, -1.8564"
Santander,"43.4623, -3.8099"
Castellón de la Plana,"39.9864, -0.0369"
Logroño,"42.4627, -2.4449"
Badajoz,"38.8794, -6.9707"
Salamanca,"40.9701, -5.6635"
Huelva,"37.2614, -6.9447"
Lérida,"41.6176, 0.6200"
Tarragona,"41.1189, 1.2445"
León,"42.5987, -5.5671"
Cádiz,"36.5164, -6.2994"
Jaén,"37.7692, -3.7903"
Orense,"42.3358, -7.8639"
